Date,Last,Open,High,Low,KL,%
28/10/2022,"24,820.00","24,850.00","24,850.00","24,812.50",0.03K,-0.04%
27/10/2022,"24,830.00","24,830.00","24,851.00","24,810.00",0.03K,0.00%
26/10/2022,"24,830.00","24,855.00","24,862.50","24,832.50",0.03K,-0.04%
25/10/2022,"24,840.00","24,850.00","24,867.50","24,825.00",0.02K,0.04%
24/10/2022,"24,830.00","24,855.00","24,872.50","24,810.00",0.01K,0.04%
21/10/2022,"24,820.00","24,555.00","24,845.00","24,552.50",0.03K,1.18%
20/10/2022,"24,530.00","24,455.00","24,564.00","24,455.00",0.03K,0.33%
19/10/2022,"24,450.00","24,450.00","24,580.00","24,445.00",0.04K,0.08%
18/10/2022,"24,430.00","24,340.00","24,445.00","24,325.00",0.04K,0.49%
17/10/2022,"24,310.00","24,135.00","24,355.00","24,135.00",0.04K,0.83%
14/10/2022,"24,110.00","24,105.00","24,183.50","24,100.00",0.03K,-0.04%
13/10/2022,"24,120.00","23,965.00","24,155.00","23,965.00",0.05K,0.73%
12/10/2022,"23,945.00","23,935.00","23,977.50","23,891.50",0.04K,0.08%
11/10/2022,"23,925.00","23,887.50","23,942.50","23,885.00",0.04K,0.23%
10/10/2022,"23,870.00","23,890.00","23,895.00","23,877.50",0.03K,-0.02%
7/10/2022,"23,875.00","23,885.00","23,895.00","23,860.00",0.03K,0.02%
6/10/2022,"23,870.00","23,875.00","23,887.50","23,825.00",0.03K,0.02%
5/10/2022,"23,865.00","23,835.00","23,907.50","23,835.00",0.03K,-0.04%
4/10/2022,"23,875.00","23,872.50","23,907.50","23,860.00",0.04K,-0.02%
3/10/2022,"23,880.00","23,835.00","23,913.50","23,835.00",0.05K,0.10%
30/09/2022,"23,855.00","23,825.00","23,887.50","23,815.00",0.04K,0.15%
